OrderID,Segment,ProductID,Category,SubCategory,CustomeName,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,Consumer,FUR-BO-10001798,Furniture,Bookcases,Claire Gute,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,Consumer,FUR-CH-10000454,Furniture,Chairs,Claire Gute,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,Corporate,OFF-LA-10000240,Office Supplies,Labels,Darrin Van Huff,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,Consumer,FUR-TA-10000577,Furniture,Tables,Sean O'Donnell,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,Consumer,OFF-ST-10000760,Office Supplies,Storage,Sean O'Donnell,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,Consumer,FUR-FU-10001487,Furniture,Furnishings,Brosina Hoffman,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,Consumer,OFF-AR-10002833,Office Supplies,Art,Brosina Hoffman,Newell 322,7.28,4,0,1.9656
CA-2014-115812,Consumer,TEC-PH-10002275,Technology,Phones,Brosina Hoffman,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,Consumer,OFF-BI-10003910,Office Supplies,Binders,Brosina Hoffman,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,Consumer,OFF-AP-10002892,Office Supplies,Appliances,Brosina Hoffman,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,Consumer,FUR-TA-10001539,Furniture,Tables,Brosina Hoffman,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2014-115812,Consumer,TEC-PH-10002033,Technology,Phones,Brosina Hoffman,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,Consumer,OFF-PA-10002365,Office Supplies,Paper,Andrew Allen,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,Consumer,OFF-BI-10003656,Office Supplies,Binders,Irene Maddox,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,Home Office,OFF-AP-10002311,Office Supplies,Appliances,Harold Pawlan,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,Home Office,OFF-BI-10000756,Office Supplies,Binders,Harold Pawlan,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,Consumer,OFF-ST-10004186,Office Supplies,Storage,Pete Kriz,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,Consumer,OFF-ST-10000107,Office Supplies,Storage,Alejandro Grove,Fellowes Super Stor/Drawer,55.5,2,0,9.99
