RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomeID,CustomeName
1,CA-2016-152156,11/08/16,11/11/16,Second Class,CG-12520,Claire Gute
2,CA-2016-152156,11/08/16,11/11/16,Second Class,CG-12520,Claire Gute
3,CA-2016-138688,06/12/16,06/16/16,Second Class,DV-13045,Darrin Van Huff
4,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell
5,US-2015-108966,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell
6,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
7,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
8,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
9,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
10,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
11,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
12,CA-2014-115812,06/09/14,06/14/14,Standard Class,BH-11710,Brosina Hoffman
13,CA-2017-114412,04/15/17,04/20/17,Standard Class,AA-10480,Andrew Allen
14,CA-2016-161389,12/05/16,12/10/16,Standard Class,IM-15070,Irene Maddox
15,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan
16,US-2015-118983,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan
17,CA-2014-105893,11/11/14,11/18/14,Standard Class,PK-19075,Pete Kriz
18,CA-2014-167164,05/13/14,05/15/14,Second Class,AG-10270,Alejandro Grove
19,CA-2014-143336,08/27/14,09/01/14,Second Class,ZD-21925,Zuschuss Donatelli
20,CA-2014-143336,08/27/14,09/01/14,Second Class,ZD-21925,Zuschuss Donatelli
21,CA-2014-143336,08/27/14,09/01/14,Second Class,ZD-21925,Zuschuss Donatelli
22,CA-2016-137330,12/09/16,12/13/16,Standard Class,KB-16585,Ken Black
23,CA-2016-137330,12/09/16,12/13/16,Standard Class,KB-16585,Ken Black
24,US-2017-156909,07/16/17,07/18/17,Second Class,SF-20065,Sandra Flanagan
25,CA-2015-106320,09/25/15,09/30/15,Standard Class,EB-13870,Emily Burns
26,CA-2016-121755,01/16/16,01/20/16,Second Class,EH-13945,Eric Hoffmann
27,CA-2016-121755,01/16/16,01/20/16,Second Class,EH-13945,Eric Hoffmann
28,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
29,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
30,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
31,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
32,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
33,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
34,US-2015-150630,09/17/15,09/21/15,Standard Class,TB-21520,Tracy Blumstein
35,CA-2017-107727,10/19/17,10/23/17,Second Class,MA-17560,Matt Abelman
36,CA-2016-117590,12/08/16,12/10/16,First Class,GH-14485,Gene Hale
37,CA-2016-117590,12/08/16,12/10/16,First Class,GH-14485,Gene Hale
38,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen
39,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen
40,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen
41,CA-2015-117415,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen
